Cohort Year,Level,Division Number,Division Name,Type of Graduation Rate,Rate Type,Race,Gender,Disadvantaged,English Learner,Homeless,Military,Foster Care,Disabled,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,GED,ISAEP,Certificate of Completion,Completion Rate,Dropout Rate,Dropouts,Still Enrolled,Long-Term Absence
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,F,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,F,N,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,F,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,M,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,M,N,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Asian,M,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,N,N,N,N,N,N,    70.78%,             510,             361,             141,              13,             207,<,               0,              24,               0,               0,n/a,n/a,              91,              28,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,N,N,N,N,N,Y,    21.37%,             131,              28,               9,               0,              19,              22,              29,               3,               0,<,n/a,n/a,              29,              19,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,Y,N,N,N,N,N,    57.06%,             170,              97,              32,               2,              63,<,               0,               6,               0,               0,n/a,n/a,              53,              12,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,Y,N,N,N,N,Y,    10.53%,              38,               4,               1,               0,               3,<,<,               0,               0,               0,n/a,n/a,              20,               2,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,Y,N,Y,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,Y,N,Y,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",F,Y,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,N,N,N,N,N,N,    57.03%,             391,             223,              63,               5,             155,<,               0,              10,               0,<,n/a,n/a,             112,              42,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,N,N,N,N,N,Y,    23.57%,             280,              66,              10,               0,              56,              51,              38,               4,               0,               0,n/a,n/a,              83,              37,               1
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,N,Y,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,Y,N,N,N,N,N,    36.61%,             112,              41,               8,               0,              33,               0,               0,               4,               0,               0,n/a,n/a,              46,              21,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,Y,N,N,N,N,Y,    14.63%,              82,              12,               2,               0,              10,<,<,               0,               0,               0,n/a,n/a,              47,               7,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,Y,N,Y,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"Black, not of Hispanic origin",M,Y,N,Y,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,F,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,F,N,Y,N,N,N,N,    20.00%,              10,               2,               0,               0,               2,               0,               0,               0,               0,               0,n/a,n/a,               7,               1,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,F,Y,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,F,Y,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,F,Y,Y,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,M,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,M,N,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,M,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,M,Y,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,Hispanic,M,Y,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",F,N,N,N,N,N,N,    84.00%,              50,              42,              21,               3,              18,               0,               0,               0,               0,               0,n/a,n/a,               8,               0,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",F,N,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",F,Y,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",M,N,N,N,N,N,N,    82.98%,              47,              39,              25,               0,              14,               0,               0,               2,               0,               0,n/a,n/a,               2,               4,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",M,N,N,N,N,N,Y,    64.71%,              17,              11,               4,               1,               6,<,               0,               0,               0,               0,n/a,n/a,               3,               2,               0
2008,Division,123,Richmond City,Federal Graduation Indicator,4 yr rate,"White, not of Hispanic origin",M,Y,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,n/a,n/a,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Asian,F,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Asian,F,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Asian,M,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Asian,M,N,N,N,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Asian,M,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,N,N,N,N,N,N,    72.24%,             508,             361,             141,              13,             207,<,               0,              24,               0,               0,    76.97%,    17.52%,              89,              28,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,N,N,N,N,N,Y,    78.22%,             101,              78,               9,               0,              19,              22,              29,               3,               0,<,    82.18%,    17.82%,              18,               0,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,Y,N,N,N,N,N,    58.24%,             170,              97,              32,               2,              63,<,               0,               6,               0,               0,    61.76%,    31.18%,              53,              12,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,Y,N,N,N,N,Y,    66.67%,              24,              16,               1,               0,               3,<,<,               0,               0,               0,    66.67%,    33.33%,               8,               0,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,Y,N,Y,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",F,Y,N,Y,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,N,N,N,N,N,N,    58.10%,             389,             223,              63,               5,             155,<,               0,              10,               0,<,    60.93%,    29.05%,             113,              39,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,N,N,N,N,N,Y,    74.52%,             208,             155,              10,               0,              56,              51,              38,               4,               0,               0,    76.44%,    23.56%,              49,               0,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,Y,N,N,N,N,N,    36.61%,             112,              41,               8,               0,              33,               0,               0,               4,               0,               0,    40.18%,    41.07%,              46,              21,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,Y,N,N,N,N,Y,    54.90%,              51,              28,               2,               0,              10,<,<,               0,               0,               0,    54.90%,    45.10%,              23,               0,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,Y,N,Y,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",M,Y,N,Y,N,N,Y,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Hispanic,F,N,N,N,N,N,N,    53.33%,              15,               8,               2,               0,               6,               0,               0,               1,               0,               0,    60.00%,    40.00%,               6,               0,               0
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Hispanic,F,N,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Hispanic,F,Y,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Hispanic,F,Y,Y,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
2008,Division,123,Richmond City,On-Time Graduation Rate,4 yr rate,Hispanic,M,N,N,N,N,N,N,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<
