School Year,Division Number,Division Name,Race,Gr PK,Gr KG,Gr 1,Gr 2,Gr 3,Gr 4,Gr 5,Gr 6,Gr 7,Gr 8,Gr 9,Gr 10,Gr 11,Gr 12,Grade Count,FT Count,PT Count,Total Count
2003-2004,123,Richmond City,American Indian or Alaska Native,               1,,               2,               2,               1,               3,               2,               1,,               2,               1,               1,,               2,              18,              18,,              18
2003-2004,123,Richmond City,Asian,               7,              12,              17,              15,              11,               8,              16,              13,               9,              14,              12,              13,               3,               7,             157,             157,,             157
2003-2004,123,Richmond City,"Black, not of Hispanic origin","           1,045","           1,779","           1,697","           1,692","           1,711","           1,803","           1,868","           1,927","           1,848","           1,644","           2,008","           1,414","           1,174","           1,125","          22,735","          22,735",              12,"          22,747"
2003-2004,123,Richmond City,Hispanic,              27,              88,              76,              70,              49,              53,              40,              26,              34,              29,              41,              19,              12,              15,             579,             579,,             579
2004-2005,123,Richmond City,American Indian or Alaska Native,               2,               3,,               2,               3,,               1,               3,               1,,,               3,,,              18,              18,,              18
2004-2005,123,Richmond City,Asian,               9,              16,              12,              14,              15,              10,               7,              12,               9,              10,              14,              15,              14,               1,             158,             158,,             158
2004-2005,123,Richmond City,"Black, not of Hispanic origin","           1,095","           1,729","           1,739","           1,672","           1,630","           1,676","           1,732","           1,862","           1,882","           1,693","           1,992","           1,499","           1,124","           1,126","          22,451","          22,451",              57,"          22,508"
2004-2005,123,Richmond City,Hispanic,              50,              89,              73,              69,              70,              53,              43,              37,              35,              34,              49,              21,              14,              15,             652,             652,,             652
2005-2006,123,Richmond City,American Indian or Alaska Native,,               2,               1,,               1,               2,,               1,               2,               1,,,,,              10,              10,,              10
2005-2006,123,Richmond City,Asian,               9,              10,              14,              10,              12,              11,              12,               8,              11,               8,              10,              13,              15,              14,             157,             157,,             157
2005-2006,123,Richmond City,"Black, not of Hispanic origin","           1,103","           1,722","           1,637","           1,732","           1,628","           1,588","           1,580","           1,700","           1,824","           1,665","           2,005","           1,524","           1,238","           1,044","          21,990","          21,990",              14,"          22,004"
2005-2006,123,Richmond City,Hispanic,              62,             139,             101,              71,              75,              72,              60,              57,              49,              37,              61,              23,              16,              12,             835,             835,,             835
2006-2007,123,Richmond City,American Indian or Alaska Native,               2,               1,               2,               1,,,               2,,               1,               3,               1,,,,              13,              13,,              13
2006-2007,123,Richmond City,Asian,              11,              18,               7,              14,               8,              15,               9,              15,              11,              12,              21,               6,              17,              14,             178,             178,,             178
2006-2007,123,Richmond City,"Black, not of Hispanic origin",             940,"           1,642","           1,677","           1,606","           1,676","           1,565","           1,519","           1,484","           1,637","           1,692","           1,998","           1,585","           1,276","           1,110","          21,407","          21,407",              21,"          21,428"
2006-2007,123,Richmond City,Hispanic,              50,             147,             110,              87,              75,              65,              65,              62,              69,              42,              54,              19,              23,              16,             884,             884,,             884
2006-2007,123,Richmond City,Native Hawaiian  or Pacific Islander,               1,,,,,,,,               1,,,,,,               2,               2,,               2
2007-2008,123,Richmond City,American Indian or Alaska Native,               1,               4,               1,               2,               2,,,               1,,               1,               2,               1,,,              15,              15,,              15
2007-2008,123,Richmond City,Asian,              11,              11,              11,               4,              10,               8,              11,               8,              11,              11,              15,              13,               7,              12,             143,             143,,             143
2007-2008,123,Richmond City,"Black, not of Hispanic origin","           1,160","           1,519","           1,608","           1,618","           1,560","           1,618","           1,477","           1,416","           1,480","           1,505","           1,980","           1,457","           1,371","           1,096","          20,865","          20,865",               2,"          20,867"
2007-2008,123,Richmond City,Hispanic,              66,             108,             143,             101,              80,              76,              69,              68,              60,              55,              64,              23,              14,              18,             945,             945,,             945
2007-2008,123,Richmond City,Native Hawaiian  or Pacific Islander,               4,               1,,,               1,,               1,,,               1,,,,,               8,               8,,               8
2008-2009,123,Richmond City,American Indian or Alaska Native,               1,               1,               2,               2,               1,               1,,,               1,,               2,               1,               2,,              14,              14,,              14
2008-2009,123,Richmond City,Asian,               9,              16,              12,               8,               6,               9,              14,               9,              12,              11,              15,              12,              14,               8,             155,             155,,             155
2008-2009,123,Richmond City,"Black, not of Hispanic origin","           1,137","           1,507","           1,513","           1,571","           1,537","           1,476","           1,549","           1,362","           1,362","           1,369","           1,757","           1,475","           1,309","           1,119","          20,043","          20,043",               2,"          20,045"
2008-2009,123,Richmond City,Hispanic,              77,             162,             108,             146,             105,              76,              68,              77,              62,              64,              68,              43,              15,              11,"           1,082","           1,082",,"           1,082"
2008-2009,123,Richmond City,Native Hawaiian  or Pacific Islander,               1,               2,               1,,,               1,,               1,,,,,,,               6,               6,,               6
2009-2010,123,Richmond City,American Indian or Alaska Native,,               1,               1,               2,               2,               1,               2,,,               1,               2,               1,,               1,              14,              14,,              14
2009-2010,123,Richmond City,Asian,              11,              12,              18,              11,               9,               6,              11,               8,              11,              10,               9,              11,              11,              15,             153,             153,,             153
2009-2010,123,Richmond City,"Black, not of Hispanic origin","           1,102","           1,493","           1,467","           1,461","           1,518","           1,492","           1,433","           1,465","           1,346","           1,297","           1,581","           1,366","           1,390","           1,154","          19,565","          19,565",,"          19,565"
2009-2010,123,Richmond City,Hispanic,             121,             169,             169,             105,             147,             112,              87,              80,              77,              54,              83,              41,              40,              11,"           1,296","           1,296",,"           1,296"
2009-2010,123,Richmond City,Native Hawaiian  or Pacific Islander,,               2,               3,               1,,,               1,,               1,,,,,,               8,               8,,               8
2010-2011,123,Richmond City,American Indian or Alaska Native,               1,               1,               3,               2,               1,               2,               1,               2,,,               1,               2,               1,               1,              18,              18,,              18
2010-2011,123,Richmond City,Asian,              10,              22,               7,              18,              11,              13,               4,               7,               9,              12,              16,               9,              10,               7,             155,             155,,             155
2010-2011,123,Richmond City,"Black, not of Hispanic origin","           1,468","           1,548","           1,506","           1,463","           1,456","           1,462","           1,428","           1,376","           1,408","           1,337","           1,508","           1,292","           1,257","           1,166","          19,675","          19,675",,"          19,675"
2010-2011,123,Richmond City,Hispanic,             151,             223,             172,             173,             119,             148,             104,              81,              75,              91,              64,              63,              27,              38,"           1,529","           1,529",,"           1,529"
2010-2011,123,Richmond City,Native Hawaiian  or Pacific Islander,               1,               1,               1,               2,               3,,,               2,               1,               3,               1,,,,              15,              15,,              15
2011-2012,123,Richmond City,American Indian or Alaska Native,               5,               3,,               4,               2,               1,               3,               1,               2,,               1,               2,               2,               3,              29,              29,,              29
2011-2012,123,Richmond City,Asian,               5,              16,              15,               9,              22,              11,              10,               7,               8,               8,              17,              11,              11,              11,             161,             161,,             161
2011-2012,123,Richmond City,"Black, not of Hispanic origin","           1,462","           1,547","           1,497","           1,474","           1,376","           1,393","           1,386","           1,361","           1,306","           1,358","           1,444","           1,221","           1,181","           1,000","          19,006","          19,006",,"          19,006"
2011-2012,123,Richmond City,Hispanic,             170,             282,             223,             162,             169,             120,             146,              93,              82,              78,             103,              49,              44,              22,"           1,743","           1,743",,"           1,743"
2011-2012,123,Richmond City,Native Hawaiian  or Pacific Islander,               3,               2,               2,               1,               3,               2,,               1,               3,               1,               3,,,,              21,              21,,              21
2012-2013,123,Richmond City,American Indian or Alaska Native,               5,               7,               2,               2,               4,,               2,               4,               1,               2,               6,               2,               2,               2,              41,              41,,              41
2012-2013,123,Richmond City,Asian,              10,              14,              16,              15,               8,              23,              10,               9,               3,               7,              13,              15,              18,               7,             168,             168,,             168
2012-2013,123,Richmond City,"Black, not of Hispanic origin","           1,437","           1,606","           1,458","           1,549","           1,449","           1,363","           1,334","           1,315","           1,325","           1,247","           1,420","           1,237","           1,145","           1,015","          18,900","          18,900",,"          18,900"
2012-2013,123,Richmond City,Hispanic,             190,             276,             288,             217,             174,             168,             126,             149,             104,             101,             105,             114,              36,              38,"           2,086","           2,086",,"           2,086"
2012-2013,123,Richmond City,Native Hawaiian  or Pacific Islander,               2,               3,               1,               1,               1,               3,               2,,,               3,               1,               4,               1,,              22,              22,,              22
2013-2014,123,Richmond City,American Indian or Alaska Native,               1,               4,               6,               2,               2,               3,,               1,               4,               1,               3,               3,               3,               2,              35,              35,,              35
2013-2014,123,Richmond City,Asian,               6,              20,              10,              12,              16,               9,              19,               7,              10,               3,               8,              12,              12,              16,             160,             160,,             160
2013-2014,123,Richmond City,"Black, not of Hispanic origin","           1,383","           1,577","           1,602","           1,437","           1,489","           1,420","           1,329","           1,184","           1,277","           1,271","           1,397","           1,199","           1,050","           1,001","          18,616","          18,616",,"          18,616"
2013-2014,123,Richmond City,Hispanic,             166,             376,             282,             276,             206,             168,             180,              98,             152,             101,             149,             105,              76,              34,"           2,369","           2,369",,"           2,369"
2013-2014,123,Richmond City,Native Hawaiian  or Pacific Islander,               3,,               2,               1,,,               4,               1,,,               3,               2,               5,,              21,              21,,              21
2014-2015,123,Richmond City,American Indian or Alaska Native,,               2,               4,               5,               1,               3,               2,               1,               2,               4,               1,               2,               3,               2,              32,              32,,              32
2014-2015,123,Richmond City,Asian,              28,              50,              27,              12,              17,              20,              19,              17,              17,              14,              14,              18,              19,              15,             287,             287,,             287
